ServiceName,ParentService,Code,ShowInSnow,EstimatesOnly,TrackChemicals,SalesTaxCode,ServiceMode,InvoiceDescription,Active,DefaultRate,MinimumAmount,MinimumAmountMessage,DefaultBudgetedHours,DefaultCommission,PayOnBudgetedHours,InvoiceTimeFormat,Class,Account,EstimateDescription,CallScriptNotes,NumberOfVisits,RatePer,TargetPerHour,TargetPerHourWithDrive,AverageServiceYears,MatrixCalculation,MatrixCustomField,ChemicalProducts
GL3 Early Summer,,GL3,False,False,True,Non,PerUnit,Application of slow-release fertilizer & post emergent broadleaf weed control.,True,50.00,0.00,,0.25,None,False,None,,Sales,Early SummerMay or JuneThis lawn care treatment contains slow release lawn fertilizer and post-emergent weed control.,,0,NotSet,0.00,0.00,0.00,Qty X Rate X Visits,Turf 1000 Sq Ft,R3 Early Summer Lawn Treatment
August Preemergent Poa,,Aug Pre Poa,False,False,False,Non,FlatRate,August Pre-emergent for perennial Poa,True,50.00,0.00,,0.00,None,False,None,,Sales,August Pre-emergent for perennial Poa,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Mulch Blower Contractor 15+,,15+ Cont,False,False,False,Non,PerUnit,Blower Installed Mulch,True,58.00,0.00,,0.00,None,False,None,,Sales,"Blower Installed Mulch-Blower Installed Mulching-Deliver and install double-shredded, color-enhanced, hardwood mulch",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Retaining Wall,,Retaining,False,False,False,,PerUnit,"retaining wall:  materials, preparation, installation",True,0.00,0.00,,0.00,None,False,None,,Sales,"Retaining Wall Installation retaining wall: materials, preparation, installation",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Chemical Spraying,,Chemical S,False,False,False,,PerUnit,broadleaf weed control,True,7.00,0.00,,0.00,None,False,None,,Sales,Chemical Spraying broadleaf weed control,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,Turf 1000 Sq Ft,
Extra Seed,,Extra Seed,False,False,False,Non,FlatRate,Delivery and Installation of Extra Seed (Per 50lb Bag),True,150.00,0.00,,0.00,None,False,None,,Sales,Extra Seed Delivery and installation of extra seed (per 50 lb bag of 99.9% weed free blue tag fescue ),,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Core Aeration,,GL5 Core A,False,False,False,,PerUnit,Core aeration,True,22.00,0.00,,0.10,None,False,None,,Sales,Core AerationCore aeration only.No seed or fertilizer. Need grass seed? Certified blue tag seed available for purchase upon request.,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,Turf 1000 Sq Ft,
Snow Contract Agreement,,Snow Contr,True,False,False,Non,Hourly,Snow Service Contract,True,120.00,0.00,,1.00,None,False,None,,Sales,Snow Service Contract,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Weed Trimmer Service.,,Weed Trimmer,False,False,False,Non,PerUnit,Trimming by hand with weed trimmer,True,50.00,0.00,,1.00,None,False,None,,Sales,Weed Trimmer Service Trimming by hand with weed trimmer,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Storm Debris Cleanup,,Storm Debris Cleanup,False,False,False,Non,Hourly,Storm Debris Clean-Up,True,285.00,0.00,,0.00,None,False,None,,Sales,Storm Debris Clean-Up,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Hedge-Pruning - Early Spring,,Hedges - Spr,False,False,False,Non,FlatRate,Early Spring hedge or shrub trimming,True,285.00,0.00,,1.00,None,False,None,,Sales,Early Spring Hedge or Shrub Trimming,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Curbside Leaf Collection,,Curbside Le,False,False,False,Non,PerUnit,Curbside Leaf Collection,True,75.00,0.00,,0.00,None,False,None,,Sales,"Curbside Leaf CollectionRemoval and disposal of leaves placed along the curb or in a pile on site.*Please note that based on weather conditions such as rain, wind, cold, or snow, the price for this service is subject to",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Topsoil (Service),,Topsoil,False,False,False,,PerUnit,Topsoil - Labor Included,True,100.00,0.00,,0.00,None,False,None,,Sales,Topsoil Installation -Deliver and install topsoil- Labor Included ( 2 - 6 yds ),,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Bed Maintenance,,Bed Maint,False,False,False,Non,PerUnit,bed maintenance ( pulling weeds & keeping mulch beds clean ),True,45.00,0.00,,0.50,None,False,None,,Sales,Bed Maintenancebed maintenance ( pulling weeds &amp; keeping mulch beds clean ),,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Route Inspect B/W,,Inspect BW,False,False,False,Non,PerUnit,Inspect Bi-weekly customer routes,True,0.00,0.00,,0.20,None,False,None,,Sales,Inspect Bi-weekly customer routes,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Fungicide App 4,,Fungi 4,False,False,True,,PerUnit,Fungicide Application 4,True,45.00,0.00,,0.00,None,False,None,,Sales,Fungicide Application 4August fungicide application,,0,NotSet,0.00,0.00,0.00,Qty X Rate X Visits,Turf 1000 Sq Ft,Fungicide Lawn Treatment 2 & 4
Lawn Repair,,Lawn Repair,False,False,False,Non,FlatRate,Patch work to repair dead spots in the lawn,True,0.01,0.00,,0.00,None,False,None,,Sales,Lawn Repair Service Patch work to repair dead spots in the lawn,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Irrigation Installation,,Irrigation,False,False,False,,PerUnit,installation of irrigation,True,0.00,0.00,,0.00,None,False,None,,Sales,Installation of Irrigation,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Tractor Labor,,Tractor La,False,False,False,,PerUnit,use of tractor to complete a job,True,150.00,0.00,,0.00,None,False,None,,Sales,Tractor Labor use of tractor to complete a job,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Leaf & Vacuum Service,,Leaf & Vac,False,False,False,Non,PerUnit,Leaf cleanup and removal,True,285.00,0.00,,3.00,None,False,None,,Sales,Leaf and Vacuum ServiceClean leaves from areas of lawnClean leaves from mulch bedsVacuum Leaves*Cleaning leaves within wooded / natural areas is not included unless specified otherwise.*Clea,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Landscape Fabric,,Landscape Fabric,False,False,False,Non,FlatRate,Delivery and installation of landscape fabric,True,0.01,0.00,,0.00,None,False,None,,Sales,Landscape Fabric InstallDelivery and installation of landscape fabric,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Angies Leaf Special,Angies Special,Angie Leaf,False,False,False,Non,FlatRate,Angies Special - leaf clean-pp plus debris disposal,True,199.00,0.00,,4.00,None,False,None,,Sales,Angie&#39;s Special - leaf clean-pp plus debris disposal,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Bed Edging,,Bed Edging,False,False,False,,PerUnit,edging of mulch beds,True,0.01,0.00,,0.00,None,False,None,,Sales,Bed Edging edging of mulch beds,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Bush Hog Service,,Bush Hog,False,False,False,Non,PerUnit,Bush Hog clearing service,True,120.00,0.00,,1.00,None,False,None,,Sales,Bush Hog ServiceBush Hog clearing service,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Materials,,Materials,False,False,False,,PerUnit,materials provided needed to complete a job,True,0.00,0.00,,0.00,None,False,None,,Sales,Materials List materials provided needed to complete a job,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Snow Removal,,Snow Remov,True,False,False,,PerUnit,plowing of snow,True,180.00,0.00,,0.00,None,False,None,,Sales,Snow Removalplowing of snow,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Misc. Services,,Misc. Serv,False,False,False,,PerUnit,quoted cost for materials and services,True,285.00,0.00,,3.00,None,False,None,,Sales,Misc. Services quoted cost for materials and services,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Mulch Blower Homeowner 15+,,Blown Mulch,False,False,False,,PerUnit,Blower Installed Mulching,True,68.00,0.00,,0.00,None,False,None,,Sales,"Blower Installed Mulch-Blower Installed Mulching-Deliver and install double-shredded, color-enhanced, hardwood mulch",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Route Inspection Leaves,,Rte Leaves,False,False,False,Non,PerUnit,Use to pre-route Leaf services,True,0.00,0.00,,0.00,None,False,None,,Sales,Use to pre-route Leaf services,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Angies Special,,Angie,False,False,False,Non,FlatRate,Special Advertised Servce,True,0.00,0.00,,0.00,None,False,None,,Sales,Special Advertised Servce,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Landscape Cleanup,,Landscape Cleanup,False,False,False,Non,PerUnit,Labor and tools provided for general landscape cleanup,True,285.00,0.00,,2.00,None,False,None,,Sales,Landscape Cleanup Labor and tools provided for general landscape cleanup,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Mulch Bed Maintenance/Weed Ctrl,,Mulch Bed Maint /Weed Ctrl,False,False,False,Non,PerUnit,Mulch bed maintenance and weed control,True,150.00,0.00,,2.00,None,False,None,,Sales,Mulch bed maintenance and weed control,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Weekly Debris Removal,,Wkly Dbris Rmvl,False,False,False,Non,FlatRate,Weekly leaf and stick removal and disposal during mowing service,True,10.00,0.00,,0.00,None,False,None,,Sales,Weekly Debris RemovalRemoval and disposal of leaves and sticks during mowing service,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Carbon G Application,,Carbon G,False,False,True,Non,PerUnit,Application of Carbon G.,True,0.00,0.00,,0.50,None,False,None,,Sales,Application of Carbon G,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Insecticide Application,,Insecticide Application,False,False,True,Non,PerUnit,Insecticide Application,True,0.00,0.00,,0.00,None,False,None,,Sales,Insecticide Application,,0,NotSet,0.00,0.00,0.00,Qty X Rate X Visits,Turf 1000 Sq Ft,Bandit Insecticide
Hedge Trimming - Summer,,Hedges - Sum,False,False,False,Non,FlatRate,Summer hedge or shrub trimming,True,285.00,0.00,,1.00,None,False,None,,Sales,Summer Hedge trimming,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Irrigation Winterization,,Irrigation,False,False,False,,PerUnit,winterization of irrigation,True,115.00,0.00,,0.00,None,False,None,,Sales,Irrigation Winterization,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Spring Cleanup,,Spring Cleanup,False,False,False,Non,PerUnit,Spring Cleanup,True,0.00,0.00,,0.00,None,False,None,,Sales,Spring Cleanup,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
GL4 Summer,,GL4,False,False,True,Non,PerUnit,Application of slow release fertilizer & post emergent broadleaf weed control.,True,50.00,0.00,,0.25,None,False,None,,Sales,SummerJuly or AugustThis treatment includes a liquid application containing slow release fertilizer and post-emergent broadleaf weed control.,,0,Visit,0.00,0.00,0.00,Qty X Rate X Visits,Turf 1000 Sq Ft,R4 Summer Lawn Treatment
Old Landscape Removal,,Old Landsc,False,False,False,,PerUnit,removal of plants,True,0.00,0.00,,0.00,None,False,None,,Sales,Removal of Old Landscape-Removal of plants-Old plants a debris hauled away,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Tree Service,,Tree Servi,False,False,False,,PerUnit,cutting of trees,True,0.00,0.00,,0.00,None,False,None,,Sales,Tree Service cutting of trees,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Winter Pruning,,Winter Prun,False,False,False,Non,PerUnit,"Winter Pruning of Crepe Myrtles, Ornamental Grasses, shrubs, etc",True,285.00,0.00,,3.00,None,False,None,,Sales,"Winter Pruning-Pruning of Crepe Myrtles, Ornamental Grasses, shrubs, etc",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
"Aerating, seeding, fertilizing",,GL5 ASF,False,False,True,Non,PerUnit,"Core aeration, seeding and fertilizing.
(Labor & material included)",True,50.50,0.00,,0.50,None,False,None,,Sales,"Early FallCore aeration, seeding, and fertilizing *SEED WILL BE APPLIED AT A RATE OF APPROXIMATELY 5 POUNDS PER 1,000 SQUARE FEET. EXTRA SEED CAN BE PURCHASED &amp; APPLIED UPON REQUES",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,Turf 1000 Sq Ft,8-14-1
Fungicide App 2,,Fungi 2,False,False,True,,PerUnit,Fungicide Application 2,True,45.00,0.00,,0.00,None,False,None,,Sales,Fungicide Application 2June fungicide application,,0,NotSet,0.00,0.00,0.00,Qty X Rate X Visits,Turf 1000 Sq Ft,Fungicide Lawn Treatment 2 & 4
Leaf & Vac Pre Thanksgiving,,Leaf & Vac Pre Thanksgiving,False,False,False,Non,FlatRate,Leaf & Vac Pre Thanksgiving,True,285.00,0.00,,0.00,None,False,None,,Sales,Leaf and Vac Service Leaf &amp; Vac Pre ThanksgivingClean leaves from areas of lawnClean leaves from mulch bedsVacuum Leaves*Cleaning leaves within wooded / natural areas is not included</strong,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Lime Application,,Lime Application,False,False,True,Non,PerUnit,Lime Application,True,0.00,0.00,,0.00,None,False,None,,Sales,Lime Application,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,Turf 1000 Sq Ft,Lime Pellets
Moss Control,,Moss,False,False,False,Non,PerUnit,Moss Control Application,True,45.00,0.00,,0.25,None,False,None,,Sales,Moss Control Application,,0,NotSet,0.00,0.00,0.00,Qty X Rate X Visits,Turf 1000 Sq Ft,
Late Fee,,Late Fee,False,False,False,Non,FlatRate,"Youll be charged a late fee when you dont pay your bill on
time. The amount is the greater
of $5 or 1.5% of the unpaid
balance.",True,5.00,0.00,,0.00,None,False,None,,Sales,"Youll be charged a late fee when you dont pay your bill on
time. The amount is the greater
of $5 or 1.5% of the unpaid
balance.",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Snapshot,,Snapshot,False,False,False,Non,PerUnit,Snapshot application,True,0.01,0.00,,0.00,None,False,None,,Sales,Snapshot applicationApply Snapshot pre-emergent weed control to mulch beds before mulching,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Weekly Leaf Clean-Up,,Weekly Leaf Clean-Up,False,False,False,Non,FlatRate,Weekly Leaf Clean-Up,True,50.00,0.00,,0.00,None,False,None,,Sales,Weekly Leaf Clean-Up:Eight weekly leaf clean-ups starting the first week of November and ending the week of Christmas.Leaves will be blown off lawn and out of mulch beds and into wooded areas.,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Pruning,,Pruning,False,False,False,Non,PerUnit,"trimming of shrubs,small trees, liriope, etc.",True,285.00,0.00,,0.00,None,False,None,,Sales,"Pruning Services trimming of shrubs, small trees, liriope, etc.",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Rock / Gravel,,Rock / Gra,False,False,False,,PerUnit,rock / gravel,True,45.00,0.00,,0.00,None,False,None,,Sales,Rock/Gravel Installrock / gravel,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Brushmaster,,Brushmaster,False,False,False,Non,FlatRate,Spraying of Brushmaster,True,75.00,0.00,,0.00,None,False,None,,Sales,Brushmaster Spraying of Brushmaster,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Blown Compost Plus,,Blown Compost Plus,False,False,False,Non,PerUnit,"Blown Compost Plus 

15 plus yds",True,67.00,0.00,,0.00,None,False,None,,Sales,Blower Installed Organic CompostIncreases organic matter in your soil.Helps plants absorb nutrients already in your soil and provides some extra nutrients too.Makes clay soils more airy and helps them,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Irrigation Start Up,,Irrigation,False,False,False,,PerUnit,turning on of irrigation system,True,115.00,0.00,,1.00,None,False,None,,Sales,Irrigation Start up turning on of irrigation system,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Fuel Surcharge,,Fuel,False,False,False,Non,PerUnit,Fuel cost adjustment due to inflation,True,1.00,0.00,,0.00,None,False,None,,Sales,Fuel adjustment due to inflation,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Mulch Red by Hand 8-14 yds,,Mulch Red by Hand 8-14 yds,False,False,False,Non,PerUnit,Delivery and Installation of Red Mulch,True,80.00,0.00,,0.00,None,False,None,,Sales,"Hand Installed Red Mulch -Hand Installed Mulching-Deliver and install double-shredded, color-enhanced, red mulch",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Leaf Cleanup,,Leaf Clean,False,False,False,Non,PerUnit,Leaf cleanup,True,285.00,0.00,,3.00,None,False,None,,Sales,Leaf Clean-Up *Cleaning leaves within wooded areas is not included unless specified otherwise.*Cleaning leaves within mulch beds will result in a loss of some of the mulch.,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Play Ground Chips,,Play Groun,False,False,False,,PerUnit,installation of play ground chips,True,67.00,0.00,,0.00,None,False,None,,Sales,Install Playground Chipsinstallation of play ground chips,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Mulch Hand Installed 8-14 yds,,Mulching -,False,False,False,,PerUnit,Hand Installed Mulching,True,73.00,0.00,,1.00,None,False,None,,Sales,"Hand Installed Mulch Edge Mulch Beds.Deliver and install double-shredded, color-enhanced, hardwood mulch.*Please note that mulch preparation clean-up, such as removing leaves and sticks within the mulch beds, i",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Contract Services,,Contract Svc,False,False,False,Non,PerUnit,Contract Service - Billing per Agreement,True,0.00,0.00,,0.00,None,False,None,,Sales,Contract Service - Billing per Agreement,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Landscape Timbers,,Timbers,False,False,False,Non,PerUnit,Install Landscape Timbers,True,5.00,0.00,,0.25,None,False,None,,Sales,Install Landscape Timbers,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Tip,,Tip,False,False,False,Non,FlatRate,Tip,True,0.00,0.00,,0.00,FlatRatePerJob,False,None,,Uncategorized Income,Tip,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Delivery,,Delivery,False,False,False,Non,FlatRate,Delivery,True,150.00,0.00,,0.00,None,False,None,,Sales,Delivery,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Soil Sample,,Soil Sampl,False,False,False,Non,PerUnit,Soil Sample,True,45.00,0.00,,0.00,None,False,None,,Sales,"Soil Sample This soil sample will test your soils PH.  The results of this test will tell us what may be needed, in addition to the lawn applications, to help better establish a healthy lawn.An additional est",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Grounds Maintenance,,Grounds Maint,False,False,False,Non,PerUnit,"Cleanup debris, sticks, trash, etc.",True,180.00,0.00,,3.00,None,False,None,,Sales,"Cleanup debris, sticks, trash, etc.",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Fungicide App 3,,Fungi 3,False,False,True,,PerUnit,Fungicide Application 3,True,45.00,0.00,,0.00,None,False,None,,Sales,Fungicide Application 3July fungicide application,,0,NotSet,0.00,0.00,0.00,Qty X Rate X Visits,Turf 1000 Sq Ft,Fungicide Lawn Treatment 1 & 3
NDS Drain,,NDS Drain,False,False,False,,PerUnit,"Installation of NDS french drain 
( hand installed )",True,10.00,0.00,,0.00,None,False,None,,Sales,NDS Drain Installation Installation of NDS french drain ( hand installed ),,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Labor,,Labor,False,False,False,,PerUnit,general labor per hour ( tools included ),True,285.00,0.00,,3.00,None,False,None,,Sales,general labor per hour ( tools included ),,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Grading,,Grading,False,False,False,,PerUnit,grading of lot,True,0.00,0.00,,0.00,None,False,None,,Sales,Grading Service grading of lot,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
GL2 Crabgrass Pre-emergent 2,,GL2,False,False,True,Non,PerUnit,"Application of liquid pre-emergent crabgrass control, lawn fertilizer, and broadleaf weed control.",True,50.00,0.00,,0.25,None,False,None,,Sales,"SpringMarch or AprilThis lawn care application consists of a complete lawn fertilizer, pre-emergent crabgrass control, and broadleaf weed control.",,0,NotSet,0.00,0.00,0.00,Qty X Rate X Visits,Turf 1000 Sq Ft,R2 Spring Lawn Treatment
Hedge Trimming,,Hedge Trim,False,False,False,Non,PerUnit,Hedge Trimming,True,285.00,0.00,,0.00,None,False,None,,Sales,Hedge Trimming,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Erosion Control Mat,,Erosion Control Mat,False,False,False,Non,PerUnit,Delivery and installation of erosion control mat.,True,0.01,0.00,,0.00,None,False,None,,Sales,Erosion Control Mat Install Delivery and installation of erosion control mat.,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
